pattern|total_frequency |label|label_frequency|
h,h,h,h,h,h,h,h,h,h,h,h,h,|63|Botnet-TCP-HTTP-CC-Custom-Encryption|21|
h,h,h,h,h,h,h,h,h,h,h,h,h,|63|Normal-TCP-HTTP|27|
h,h,h,h,h,h,h,h,h,h,h,h,h,|63|Normal-Jist|15|
,h,h,h,h,h,h,h,h,h,h,h,h,h|63|Botnet-TCP-HTTP-CC-Custom-Encryption|21|
,h,h,h,h,h,h,h,h,h,h,h,h,h|63|Normal-TCP-HTTP|27|
,h,h,h,h,h,h,h,h,h,h,h,h,h|63|Normal-Jist|15|
i0i0i0i0i0i0i0i0i0i0i0i0i0|42|Botnet-TCP-IRC-CC-Not-Encrypted|39|
i0i0i0i0i0i0i0i0i0i0i0i0i0|42|Normal-TCP-Jabber|3|
0i0i0i0i0i0i0i0i0i0i0i0i0i|42|Botnet-TCP-IRC-CC-Not-Encrypted|39|
0i0i0i0i0i0i0i0i0i0i0i0i0i|42|Normal-TCP-Jabber|3|
f+f+f+f+f+f+f+f+f+f+f+f+f+|11|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|11|
+f+f+f+f+f+f+f+f+f+f+f+f+f|11|Botnet-TCP-HTTP-CC-Custom-Port-Not-Encrypted|11|
u.U.U.U.u.u.u.U.U.u.u.u.u.|4|Botnet-ICMP|4|
.u.U.U.U.u.u.u.U.U.u.u.u.u|4|Botnet-ICMP|4|
u.u.u.u.u.u.u.u.u.u.u.U.U.|3|Botnet-ICMP|3|
u.u.u.u.u.u.u.u.u.u.U.U.u.|3|Botnet-ICMP|3|
u.u.u.u.u.u.u.u.u.U.U.u.u.|3|Botnet-ICMP|3|
u.u.u.u.u.u.u.u.u.D.u.u.u.|3|Botnet-ICMP|3|
u.u.u.u.u.u.u.u.U.U.u.u.u.|3|Botnet-ICMP|3|
u.u.u.u.u.u.u.U.u.u.u.u.u.|3|Botnet-ICMP|3|
u.u.u.u.u.u.u.U.U.u.u.u.u.|3|Botnet-ICMP|3|
u.u.u.u.u.u.U.u.u.u.u.u.U.|3|Botnet-ICMP|3|
u.u.u.u.U.u.u.u.u.u.u.u.u.|3|Botnet-ICMP|3|
u.u.U.U.U.u.u.u.U.U.u.u.u.|3|Botnet-ICMP|3|
u.u.U.U.U.u.U.U.u.u.u.u.U.|3|Botnet-ICMP|3|
u.U.u.u.u.U.U.u.u.u.u.D.u.|3|Botnet-ICMP|3|
u.U.U.u.u.u.u.u.u.u.u.u.u.|3|Botnet-ICMP|3|
u.U.U.U.u.u.U.U.u.u.u.u.u.|3|Botnet-ICMP|3|
U.u.u.u.U.U.u.u.u.u.u.u.u.|3|Botnet-ICMP|3|
U.U.u.u.u.u.u.u.u.u.u.u.u.|3|Botnet-ICMP|3|
U.U.U.u.u.u.U.U.u.u.u.u.u.|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.u.u.u.u.U.U|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.u.u.u.U.U.u|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.u.u.U.U.u.u|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.u.u.D.u.u.u|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.u.U.U.u.u.u|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.U.u.u.u.u.u|3|Botnet-ICMP|3|
.u.u.u.u.u.u.u.U.U.u.u.u.u|3|Botnet-ICMP|3|
.u.u.u.u.u.u.U.u.u.u.u.u.U|3|Botnet-ICMP|3|
.u.u.u.u.U.u.u.u.u.u.u.u.u|3|Botnet-ICMP|3|
.u.u.U.U.U.u.u.u.U.U.u.u.u|3|Botnet-ICMP|3|
.u.u.U.U.U.u.U.U.u.u.u.u.U|3|Botnet-ICMP|3|
.u.U.u.u.u.U.U.u.u.u.u.D.u|3|Botnet-ICMP|3|
.u.U.U.u.u.u.u.u.u.u.u.u.u|3|Botnet-ICMP|3|
.u.U.U.U.u.u.U.U.u.u.u.u.u|3|Botnet-ICMP|3|
.U.u.u.u.U.U.u.u.u.u.u.u.u|3|Botnet-ICMP|3|
.U.U.u.u.u.u.u.u.u.u.u.u.u|3|Botnet-ICMP|3|
.U.U.U.u.u.u.U.U.u.u.u.u.u|3|Botnet-ICMP|3|
z.Z.Z.z.Z.Z.z.z.Z.Z.z.I.z.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.u.U.u.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.u.U.u.u.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.U.u.u.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.U.u.u.U.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.U.U.u.u.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.U.U.u.U.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.D.u.u.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.u.D.u.u.u.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.U.u.u.U.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.U.U.u.u.U.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.D.u.u.u.u.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.u.D.u.u.u.U.D.|2|Botnet-ICMP|2|
u.u.u.u.u.u.U.u.u.u.u.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.U.u.u.U.u.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.U.U.u.u.u.u.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.U.U.u.u.U.U.U.|2|Botnet-ICMP|2|
u.u.u.u.u.u.U.U.U.U.U.u.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.U.U.U.U.U.U.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.D.u.u.u.u.U.u.|2|Botnet-ICMP|2|
u.u.u.u.u.u.D.u.u.u.U.D.u.|2|Botnet-ICMP|2|
